Station,area_km2,Latitude,Longitude,Model,Country
1159673,3857,-28.88388889,27.88944444,UI,SA
1160527,1512,-32.785,25.61483333,UP,SA
1160530,806,-32.60586111,25.88461111,UI,SA
1159305,8266,-30.53472222,24.9625,UI,SA
1159811,4650,-27.43083333,28.52638889,UP,SA
1160709,104,-29.749,30.317,UP,SA
1196445,625,-25.47086,28.26378,MP,SA
1160723,534,-29.60772222,30.45025,MP,SA
1159815,7497,-27.80277778,28.7675,MI,SA
1160304,4355,-33.81805556,19.69333333,MP,SA
1160537,1023,-32.76144444,26.62886111,MI,SA
403209A,5486.9,-36.3325,146.344722,UP,AU
419005,2535.9,-30.678611,150.778056,UP,AU
604053,1841.4,-34.889167,117.087222,UP,AU
223202,894.3,-37.268056,147.728056,UP,AU
222206,847.5,-37.494722,148.174722,UP,AU
308145,774,-42.241667,145.767222,UP,AU
405219,699.1,-37.3325,146.130278,UP,AU
307473,697.9,-43.1412,145.95,UP,AU
410731,669.6,-35.575,149.066111,UP,AU
224213A,666.3,-37.493889,147.271389,UP,AU
405227,628.1,-37.3675,146.056944,UP,AU
405209,625.8,-37.317778,145.713889,UP,AU
225219,572,-37.516111,146.566111,UP,AU
314207,499.6,-41.250833,146.09,UP,AU
224214A,440.6,-37.494444,147.393333,UP,AU
403222,414.8,-36.910833,146.700556,UP,AU
401210,412.9,-36.568611,147.413611,UP,AU
401217,389.2,-36.756111,147.708611,UP,AU
405215,369.5,-37.229444,146.207222,UP,AU
405218,366.8,-37.291667,146.1875,UP,AU
401208,356.2,-36.213333,147.677778,UP,AU
405264,336.5,-37.520556,146.076667,UP,AU
405263,327.6,-37.462778,146.247778,UP,AU
407214,305.7,-37.296944,143.789444,UP,AU
408200,2677.9,-36.438056,143.298333,UP,AU
410734,564.4,-35.613889,149.348889,UP,AU
G0050115,3335.6,-24.351667,133.433333,UI,AU
412028,2639.3,-33.954722,149.325278,UI,AU
804001,1834.8,-17.008889,125.4275,UI,AU
412066,1636.6,-34.112778,149.5975,UI,AU
