,Station,Dropout_rate,Kernel_size,Number_of_filters,NSE_val,PBIAS_val,RMSE_val,VE_val,MARE_val,MAE_val,CORR_val,KGE_val,flow_obs_zero,flow_pred_zero,flow_obs_non_zero,flow_pred_non_zero,flow_both_zero,flow_obs_zero_pred_non_zero,flow_both_non_zero,flow_obs_non_zero_pred_zero,prct_true,prct_false,obs_rc_val,pred_rc_val,Model
0,2231000,0.1,5,32,0.857726673952964,-15.9398134099055,0.82051015302734,0.840601865900945,2715.52375123676,164.142131894212,0.929864169667133,0.775085040394133,0,120,1826,1706,0,0,1706,120,,,0.153820245717746,0.178338905871813,Hybrid
1,2296500,0.5,20,32,0.744620465752675,-9.5247961358794,0.530238611260331,0.904752038641206,2164.58575878073,98.1756126899552,0.875419409724592,0.842585453145637,0,736,1826,1090,0,0,1090,736,,,0.156087157729748,0.170954141297795,Hybrid
2,2361000,0.2,10,16,0.827771182773422,-5.46660117638642,0.803841544668983,0.945333988236136,781.83616845617,108.394444304232,0.914338002237357,0.898381147609,0,25,1826,1801,0,0,1801,25,,,0.274698259845488,0.289714918149715,Hybrid
3,2472500,0.2,10,32,0.859569314681794,-10.5273190889059,0.985918937761262,0.894726809110941,667.462652711755,239.353750323487,0.928756041257048,0.86409299962535,0,3,1826,1823,0,0,1823,3,,,0.283727055157749,0.313595907595761,Hybrid
4,2479300,0.1,15,32,0.865233706530529,0.493415260960679,1.13814239378301,0.995065847390393,604.981444949376,15.3352386586044,0.93383211883107,0.837224387920936,0,0,1826,1826,0,0,1826,0,,,0.358979716840756,0.35720845613411,Hybrid
5,2479560,0.1,10,32,0.803885676970002,-5.41331843427345,1.39075958474062,0.945866815657266,998.415811871097,170.384640304861,0.902905417552445,0.771691925540975,0,0,1826,1826,0,0,1826,0,,,0.357262561577171,0.376602321681785,Hybrid
6,2481510,0.1,15,32,0.708054633721531,7.5094891461774,2.48068069773018,0.924905108538226,957.370877021626,239.075487292547,0.854341385003775,0.666307395803844,0,33,1826,1793,0,0,1793,33,,,0.380185307735021,0.351635333315299,Hybrid
7,8013000,0.5,10,4,0.676156900363645,-28.0949679311871,1.3273468029156,0.719050320688129,3446.28617837455,422.793059167513,0.829905904355998,0.651078927144178,0,458,1826,1368,0,0,1368,458,,,0.222267846406093,0.284713926575224,Hybrid
8,8014500,0.3,10,32,0.805312402124722,-18.7637300787999,0.779797494597013,0.812362699212001,1169.04745871242,287.286303350116,0.907618597502533,0.790602705124616,0,2,1826,1824,0,0,1824,2,,,0.229205895014504,0.272213470479723,Hybrid
9,8070000,0.5,5,2,0.356868831816701,-106.713753500467,0.689055797857706,-0.067137535004674,9254.42956876391,499.729781463771,0.718914939960957,-0.104231134949879,0,166,1826,1660,0,0,1660,166,,,0.091621966391709,0.189395205759238,Hybrid
10,8070200,0.5,5,2,0.534189127924128,-67.4255034894766,0.51828768112025,0.325744965105234,4355.00579998352,349.263588876305,0.783846724538566,0.286669132844271,0,51,1826,1775,0,0,1775,51,,,0.100214209151269,0.167784144239509,Hybrid
11,8164300,0.3,10,2,0.323705328532668,-39.2870075517007,1.09212866776369,0.607129924482993,,115.752315780083,0.571194858664107,0.287237687502865,104,1290,1722,536,95,9,527,1195,91.3461538461538,8.65384615384615,0.072334419913927,0.10075244892799,Hybrid
12,8175000,0.3,5,32,0.621271377776813,-42.8154438885433,0.5681310667127,0.571845561114567,,103.926782253958,0.823196619663565,0.533811203003591,41,1435,1785,391,40,1,390,1395,97.5609756097561,2.4390243902439,0.064451648425393,0.092046907792209,Hybrid
13,8190000,0.5,5,2,-7.09208663381363,-211.63508872182,0.183551295498901,-1.1163508872182,6578.32151936095,236.436644467549,0.399258663820549,-1.50355291272854,0,1,1826,1825,0,0,1825,1,,,0.041587043861076,0.129599821033247,Hybrid
14,8195000,0.5,5,2,-1.81630258176358,-190.67935941357,0.222628502937137,-0.906793594135702,inf,316.835002265182,0.501801527267982,-0.973318366279188,58,0,1768,1826,0,58,1768,0,0,100,0.053653156356954,0.155958651203556,Hybrid
15,8101000,0.3,5,4,0.838060619066999,-21.1866004961169,0.48366552116693,0.788133995038831,,56.2534443845956,0.915968751628692,0.750783595947613,368,788,1458,1038,312,56,982,476,84.7826086956522,15.2173913043478,0.067393852033541,0.081672318222832,Hybrid
16,8171300,0.1,15,32,0.405857566180015,-61.4656644689943,0.765097141252052,0.385343355310057,,186.803781853891,0.645396398221223,0.203335467349245,838,477,988,1349,343,495,854,134,40.9307875894988,59.0692124105012,0.074388125748225,0.120111281525403,Hybrid
17,8189500,0.1,5,32,0.66373758573892,-22.8695868580009,0.333975691571157,0.771304131419991,,41.8324488947732,0.831240188628172,0.715647731922169,170,1038,1656,788,106,64,724,932,62.3529411764706,37.6470588235294,0.05088076814973,0.062516989615751,Hybrid
18,8064100,0.4,20,32,0.719605538988937,-8.30896716486274,0.810020780430378,0.916910328351372,3176.96181703611,97.7802486260759,0.865586844745519,0.838332983346957,0,760,1826,1066,0,0,1066,760,,,0.206091706809719,0.223215799058043,Hybrid
19,8100000,0.5,10,4,0.572982250601496,-69.8074613727304,0.196589421361571,0.301925386272696,,103.405659795863,0.786253734052831,0.260954992203044,628,595,1198,1231,233,395,836,362,37.1019108280255,62.8980891719745,0.037142415170231,0.063070592293089,Hybrid
